City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,kapuskasing,49.4169,-82.4331,27.05,41,40,6.69,CA,1690323278
110,banda aceh,5.5577,95.3222,26.61,76,94,5.93,ID,1690323150
111,tazovsky,67.4667,78.7,12.01,79,34,4.36,RU,1690323278
112,nemuro,43.3236,145.575,16.8,99,93,0.63,JP,1690323278
113,datong,40.0936,113.2914,21.83,61,32,2.02,CN,1690323279
114,nadi,-17.8,177.4167,23.0,83,75,1.54,FJ,1690322995
115,tiruchirappalli,10.8167,78.6833,27.06,74,75,6.69,IN,1690323236
116,georgetown,5.4112,100.3354,26.96,83,20,0.0,MY,1690323279
117,emerald,-23.5333,148.1667,12.97,77,0,7.12,AU,1690323279
118,tarawa,1.419,172.984,26.05,94,100,1.03,KI,1690323279
119,aldan,58.6031,125.3894,17.61,80,66,0.34,RU,1690323116
120,arzgir,45.3728,44.2206,24.11,52,0,2.39,RU,1690323280
121,ola,59.5833,151.2833,14.3,84,39,1.53,RU,1690323280
122,maintirano,-18.0667,44.0167,22.75,75,15,7.02,MG,1690323280
123,wynyard,-41.0,145.7167,11.51,80,100,4.21,AU,1690323280
124,nuuk,64.1835,-51.7216,12.34,58,20,5.66,GL,1690323280
125,ust-nera,64.5667,143.2,16.28,70,87,1.6,RU,1690323281
126,vilyuchinsk,52.9306,158.4028,18.15,73,51,0.69,RU,1690323281
127,carutapera,-1.195,-46.02,25.35,83,89,3.42,BR,1690323281
128,trairi,-3.2778,-39.2689,25.8,77,8,5.5,BR,1690323028
129,sao felix do xingu,-6.6447,-51.995,26.92,41,5,0.83,BR,1690323281
130,tolanaro,-25.0319,46.9987,17.96,65,66,2.87,MG,1690323281
131,stanley,54.868,-1.6985,12.62,93,75,2.06,GB,1690323282
132,itoman,26.1247,127.6694,29.01,87,75,5.66,JP,1690323282
133,newman,37.3138,-121.0208,36.13,8,1,1.07,US,1690323282
134,bannockburn,56.0898,-3.9109,13.95,86,87,1.69,GB,1690323282
135,dudinka,69.4058,86.1778,14.79,62,0,4.84,RU,1690323282
136,guozhen,34.3659,107.359,24.21,73,97,0.98,CN,1690323283
137,crane,31.3974,-102.3501,37.15,18,30,7.38,US,1690323283
138,opuwo,-18.0607,13.84,16.46,35,2,0.68,NA,1690323283
139,codrington,-38.2667,141.9667,6.03,93,99,3.33,AU,1690323283
140,loen,7.7601,168.2307,26.9,86,100,8.94,MH,1690323283
141,quellon,-43.1167,-73.6167,9.14,87,100,1.03,CL,1690323284
142,toliara,-23.35,43.6667,17.55,66,64,6.25,MG,1690323284
143,port alfred,-33.5906,26.891,15.27,58,100,3.86,ZA,1690323284
144,ribeira grande,38.5167,-28.7,20.99,79,7,3.13,PT,1690323284
145,inhambane,-23.865,35.3833,17.23,71,5,2.46,MZ,1690323284
146,namtsy,62.7161,129.6658,16.51,51,21,3.86,RU,1690323285
147,chiredzi,-21.05,31.6667,15.82,76,61,1.5,ZW,1690323285
148,rio grande,-32.035,-52.0986,16.06,91,100,7.08,BR,1690323285
149,freetown,8.484,-13.2299,24.53,91,100,2.45,SL,1690323285
150,tir pul,34.5943,61.269,29.49,13,0,4.22,AF,1690323286
151,nogliki,51.8333,143.1667,14.75,94,99,3.34,RU,1690323286
152,long,18.0761,99.8326,25.18,98,54,0.99,TH,1690323286
153,badger,64.8,-147.5333,26.93,55,75,5.14,US,1690323286
154,anadyr,64.75,177.4833,12.28,87,100,3.58,RU,1690323286
155,pemangkat,1.1667,108.9667,25.51,86,100,3.78,ID,1690323286
156,ambovombe,-25.1667,46.0833,18.07,56,38,4.19,MG,1690323287
157,mazabuka,-15.856,27.748,17.14,38,1,4.58,ZM,1690323287
158,sohna,28.25,77.0667,28.13,85,100,3.49,IN,1690323287
159,yanchep,-31.55,115.6833,11.64,78,95,6.61,AU,1690323287
160,port mathurin,-19.6833,63.4167,23.31,77,10,7.13,MU,1690323287
161,maceio,-9.6658,-35.7353,24.69,78,0,1.54,BR,1690323148
162,kudahuvadhoo,2.6708,72.8944,28.0,78,95,4.52,MV,1690323288
163,dalhart,36.0595,-102.5133,40.01,15,0,6.69,US,1690323288
164,bilibino,68.0546,166.4372,10.95,94,100,0.9,RU,1690323288
165,crestwood village,39.9482,-74.3607,24.77,75,40,2.57,US,1690323288
166,kourou,5.1552,-52.6478,28.03,81,60,3.65,GF,1690323288
167,karatau,43.1667,70.4667,26.15,23,0,3.15,KZ,1690323289
168,xining,36.6167,101.7667,14.21,72,99,1.18,CN,1690323289
169,lebu,-37.6167,-73.65,10.51,82,79,3.5,CL,1690323289
170,garissa,-0.4536,39.6401,23.17,72,34,8.03,KE,1690323289
171,cockburn town,21.4612,-71.1419,28.84,80,22,7.82,TC,1690323290
172,vyazniki,56.25,42.1667,16.89,91,95,2.71,RU,1690323290
173,chegdomyn,51.1167,133.0167,18.47,98,100,1.7,RU,1690323290
174,yoloten,37.2989,62.3597,30.65,12,0,4.46,TM,1690323290
175,touros,-5.1989,-35.4608,24.34,75,41,7.18,BR,1690323124
176,chonchi,-42.6128,-73.8092,8.56,95,75,1.9,CL,1690323291
177,port douglas,-16.4833,145.4667,21.87,85,96,7.22,AU,1690323291
178,'ain el turk,35.7438,-0.7693,26.5,64,0,3.6,DZ,1690323291
179,corumba,-19.0092,-57.6533,26.84,61,5,0.0,BR,1690323291
180,kirakira,-10.4544,161.9205,26.77,87,81,4.31,SB,1690323291
181,wloszczowa,50.8526,19.9659,18.0,85,81,3.02,PL,1690323292
182,udachny,66.4167,112.4,16.36,76,100,2.34,RU,1690323292
183,ceeldheer,3.8488,47.1806,24.38,82,61,8.59,SO,1690323292
184,maumere,-8.6199,122.2111,23.67,80,44,2.03,ID,1690323292
185,berriane,32.8265,3.7669,35.45,9,0,4.53,DZ,1690323293
186,carbonear,47.7332,-53.2148,20.91,86,72,1.92,CA,1690323293
187,bogale,16.2833,95.4,25.14,91,96,1.69,MM,1690323293
188,okhotsk,59.3833,143.3,15.44,82,100,3.04,RU,1690323293
189,afif,23.9065,42.9172,30.6,16,100,6.68,SA,1690323294
190,lihue,21.9789,-159.3672,30.77,69,20,6.69,US,1690323294
191,nuriootpa,-34.4833,139.0,8.05,84,0,3.28,AU,1690323294
192,hinatuan,8.3722,126.3342,26.24,78,100,2.62,PH,1690323294
193,katsuren-haebaru,26.3369,127.8719,29.01,86,75,5.66,JP,1690323294
194,paris,48.8534,2.3488,16.17,81,0,2.57,FR,1690322428
195,chefchaouene,35.1688,-5.2636,21.76,52,0,2.12,MA,1690323295
196,uturoa,-16.7333,-151.4333,26.82,80,9,5.87,PF,1690323295
197,college,64.8569,-147.8028,26.97,62,75,5.14,US,1690323295
198,nar'yan-mar,67.6713,53.087,14.07,83,17,3.27,RU,1690323295
199,colonia,50.9333,6.95,14.9,76,0,0.51,DE,1690323205
200,enewetak,11.3474,162.3373,28.53,77,58,7.15,MH,1690323296
201,quimili,-27.6333,-62.4167,14.44,70,97,1.71,AR,1690323296
202,mount gambier,-37.8333,140.7667,5.21,96,100,2.2,AU,1690323296
203,olonkinbyen,70.9221,-8.7187,5.44,85,100,3.71,SJ,1690323296
204,salalah,17.0151,54.0924,26.05,94,100,4.12,OM,1690323296
205,amahai,-3.3333,128.9167,26.67,84,78,2.9,ID,1690323297
206,ati,13.2154,18.3353,33.04,40,89,5.94,TD,1690323297
207,hilo,19.7297,-155.09,27.36,83,100,3.6,US,1690323207
208,whakatane,-37.9585,176.9854,10.84,82,93,1.79,NZ,1690323297
209,dunedin,-45.8742,170.5036,7.11,65,51,5.81,NZ,1690322998
210,woolgoolga,-30.1106,153.2007,14.47,71,62,5.11,AU,1690323298
211,pisco,-13.7,-76.2167,21.03,68,0,7.72,PE,1690323281
212,vorgashor,67.5833,63.95,15.39,84,100,3.21,RU,1690323298
213,pacific grove,36.6177,-121.9166,32.44,77,0,4.92,US,1690323298
214,aginskoye,51.1,114.53,16.79,77,50,0.87,RU,1690323299
215,caleta de carquin,-11.0925,-77.6267,20.84,77,19,6.16,PE,1690323299
216,borkum,53.5809,6.6915,14.97,72,90,7.87,DE,1690323299
217,natal,-5.795,-35.2094,24.36,78,0,5.14,BR,1690323283
218,ust'-kulom,61.6864,53.6902,11.37,98,59,1.23,RU,1690323299
219,shimoda,34.6667,138.95,30.61,75,10,1.82,JP,1690323299
220,susuman,62.7833,148.1667,14.76,78,100,1.27,RU,1690323300
221,baukau,51.5526,7.2042,14.16,72,28,2.68,DE,1690323300
222,labytnangi,66.6572,66.4183,16.23,92,100,4.61,RU,1690323300
223,coquimbo,-29.9533,-71.3436,15.85,82,0,3.6,CL,1690322900
224,queenstown,-31.8976,26.8753,9.84,18,100,2.41,ZA,1690323300
225,sisimiut,66.9395,-53.6735,7.69,80,67,4.99,GL,1690323301
226,diego martin,10.7005,-61.5342,28.49,68,45,2.75,TT,1690323301
227,kuta,-8.7233,115.1723,25.0,83,75,6.26,ID,1690323301
228,motueka,-41.1333,173.0167,7.28,63,51,3.35,NZ,1690323301
229,champerico,14.3,-91.9167,36.3,65,56,4.88,GT,1690323302
230,kenai,60.5544,-151.2583,17.05,84,100,4.12,US,1690323302
231,hovd,48.0056,91.6419,18.48,39,100,1.21,MN,1690323303
232,mbake,14.7903,-15.908,31.21,60,98,5.62,SN,1690323303
233,justo daract,-33.8594,-65.1828,12.13,59,91,5.17,AR,1690323303
234,dhulikhel,27.6189,85.5529,20.75,84,100,1.07,NP,1690323303
235,kapa'a,22.0752,-159.319,31.18,77,20,6.69,US,1690323304
236,wankyi,7.7392,-2.1046,22.32,97,70,1.66,GH,1690323304
237,gadzhiyevo,69.2551,33.3362,9.41,96,84,2.58,RU,1690323307
238,beyneu,45.3167,55.2,25.54,53,100,6.1,KZ,1690323311
239,esbjerg,55.4667,8.45,12.73,91,75,4.12,DK,1690323312
240,ilha de mocambique,-15.0342,40.7358,23.64,71,27,9.05,MZ,1690323312
